날짜,온도
21. 6. 1 오전 12:00,19.1
21. 6. 1 오전 12:15,19.1
21. 6. 1 오전 12:30,19.1
21. 6. 1 오전 12:45,19.2
21. 6. 1 오전 1:00,19.3
21. 6. 1 오전 1:15,19.4
21. 6. 1 오전 1:30,19.4
21. 6. 1 오전 1:45,19.1
21. 6. 1 오전 2:00,19.3
21. 6. 1 오전 2:15,19.2
21. 6. 1 오전 2:30,19.2
21. 6. 1 오전 2:45,18.6
21. 6. 1 오전 3:00,18.0
21. 6. 1 오전 3:15,18.2
21. 6. 1 오전 3:30,18.5
21. 6. 1 오전 3:45,18.4
21. 6. 1 오전 4:00,18.2
21. 6. 1 오전 4:15,18.0
21. 6. 1 오전 4:30,17.8
21. 6. 1 오전 4:45,17.5
21. 6. 1 오전 5:00,17.3
21. 6. 1 오전 5:15,17.2
21. 6. 1 오전 5:30,17.7
21. 6. 1 오전 5:45,18.0
21. 6. 1 오전 6:00,17.3
21. 6. 1 오전 6:15,16.8
21. 6. 1 오전 6:30,16.6
21. 6. 1 오전 6:45,16.7
21. 6. 1 오전 7:00,16.8
21. 6. 1 오전 7:15,16.7
21. 6. 1 오전 7:30,16.7
21. 6. 1 오전 7:45,16.4
21. 6. 1 오전 8:00,16.5
21. 6. 1 오전 8:15,16.5
21. 6. 1 오전 8:30,16.5
21. 6. 1 오전 8:45,17.2
21. 6. 1 오전 9:00,18.1
21. 6. 1 오전 9:15,18.8
21. 6. 1 오전 9:30,18.6
21. 6. 1 오전 9:45,18.8
21. 6. 1 오전 10:00,19.1
21. 6. 1 오전 10:15,20.3
21. 6. 1 오전 10:30,20.55
21. 6. 1 오전 10:45,20.8
21. 6. 1 오전 11:00,21.0
21. 6. 1 오전 11:15,21.3
21. 6. 1 오전 11:30,21.2
21. 6. 1 오전 11:45,20.7
21. 6. 1 오후 12:00,20.8
21. 6. 1 오후 12:15,20.5
21. 6. 1 오후 12:30,21.0
21. 6. 1 오후 12:45,21.2
21. 6. 1 오후 1:00,21.8
21. 6. 1 오후 1:15,21.7
21. 6. 1 오후 1:30,21.5
21. 6. 1 오후 1:45,21.4
21. 6. 1 오후 2:00,21.6
21. 6. 1 오후 2:15,21.5
21. 6. 1 오후 2:30,21.5
21. 6. 1 오후 2:45,21.5
21. 6. 1 오후 3:00,21.6
21. 6. 1 오후 3:15,21.75
21. 6. 1 오후 3:30,21.9
21. 6. 1 오후 3:45,21.2
21. 6. 1 오후 4:00,20.8
21. 6. 1 오후 4:15,20.5
21. 6. 1 오후 4:30,20.7
21. 6. 1 오후 4:45,20.5
21. 6. 1 오후 5:00,20.6
21. 6. 1 오후 5:15,20.6
21. 6. 1 오후 5:30,20.6
21. 6. 1 오후 5:45,20.8
21. 6. 1 오후 6:00,21.2
21. 6. 1 오후 6:15,21.1
21. 6. 1 오후 6:30,21.0
21. 6. 1 오후 6:45,21.1
21. 6. 1 오후 7:00,21.1
21. 6. 1 오후 7:15,20.9
21. 6. 1 오후 7:30,20.2
21. 6. 1 오후 7:45,19.8
21. 6. 1 오후 8:00,19.9
21. 6. 1 오후 8:15,20.1
21. 6. 1 오후 8:30,20.1
21. 6. 1 오후 8:45,20.3
21. 6. 1 오후 9:00,20.4
21. 6. 1 오후 9:15,20.3
21. 6. 1 오후 9:30,20.3
21. 6. 1 오후 9:45,20.3
21. 6. 1 오후 10:00,20.3
21. 6. 1 오후 10:15,20.2
21. 6. 1 오후 10:30,20.1
21. 6. 1 오후 10:45,20.1
21. 6. 1 오후 11:00,20.1
21. 6. 1 오후 11:15,20.0
21. 6. 1 오후 11:30,20.0
21. 6. 1 오후 11:45,19.8
21. 6. 2 오전 12:00,19.8
21. 6. 2 오전 12:15,18.6
21. 6. 2 오전 12:30,18.4
21. 6. 2 오전 12:45,18.5
21. 6. 2 오전 1:00,18.4
21. 6. 2 오전 1:15,18.4
21. 6. 2 오전 1:30,18.5
21. 6. 2 오전 1:45,18.6
21. 6. 2 오전 2:00,18.6
21. 6. 2 오전 2:15,18.6
21. 6. 2 오전 2:30,18.6
21. 6. 2 오전 2:45,18.6
21. 6. 2 오전 3:00,18.6
21. 6. 2 오전 3:15,18.4
21. 6. 2 오전 3:30,18.3
21. 6. 2 오전 3:45,18.3
21. 6. 2 오전 4:00,18.3
21. 6. 2 오전 4:15,18.3
21. 6. 2 오전 4:30,18.1
21. 6. 2 오전 4:45,18.0
21. 6. 2 오전 5:00,17.9
21. 6. 2 오전 5:15,17.8
21. 6. 2 오전 5:30,17.8
21. 6. 2 오전 5:45,17.85
21. 6. 2 오전 6:00,17.9
21. 6. 2 오전 6:15,18.2
21. 6. 2 오전 6:30,18.55
21. 6. 2 오전 6:45,18.9
21. 6. 2 오전 7:00,19.5
21. 6. 2 오전 7:15,20.2
21. 6. 2 오전 7:30,20.7
21. 6. 2 오전 7:45,21.0
21. 6. 2 오전 8:00,20.3
21. 6. 2 오전 8:15,20.4
21. 6. 2 오전 8:30,20.9
21. 6. 2 오전 8:45,22.1
21. 6. 2 오전 9:00,22.2
21. 6. 2 오전 9:15,22.4
21. 6. 2 오전 9:30,23.1
21. 6. 2 오전 9:45,23.4
21. 6. 2 오전 10:00,23.6
21. 6. 2 오전 10:15,24.1
21. 6. 2 오전 10:30,24.6
21. 6. 2 오전 10:45,24.7
21. 6. 2 오전 11:00,25.1
21. 6. 2 오전 11:15,25.7
21. 6. 2 오전 11:30,25.9
21. 6. 2 오전 11:45,26.2
21. 6. 2 오후 12:00,26.0
21. 6. 2 오후 12:15,26.3
21. 6. 2 오후 12:30,27.4
21. 6. 2 오후 12:45,27.4
21. 6. 2 오후 1:00,27.7
21. 6. 2 오후 1:15,27.3
21. 6. 2 오후 1:30,27.3
21. 6. 2 오후 1:45,27.7
21. 6. 2 오후 2:00,27.4
21. 6. 2 오후 2:15,27.0
21. 6. 2 오후 2:30,26.8
21. 6. 2 오후 2:45,26.5
21. 6. 2 오후 3:00,26.2
21. 6. 2 오후 3:15,26.0
21. 6. 2 오후 3:30,25.8
21. 6. 2 오후 3:45,25.7
21. 6. 2 오후 4:00,25.6
21. 6. 2 오후 4:15,25.5
21. 6. 2 오후 4:30,25.3
21. 6. 2 오후 4:45,25.3
21. 6. 2 오후 5:00,25.3
21. 6. 2 오후 5:15,25.0
21. 6. 2 오후 5:30,24.5
21. 6. 2 오후 5:45,24.0
21. 6. 2 오후 6:00,23.5
21. 6. 2 오후 6:15,22.9
21. 6. 2 오후 6:30,22.3
21. 6. 2 오후 6:45,21.7
21. 6. 2 오후 7:00,21.5
21. 6. 2 오후 7:15,21.0
21. 6. 2 오후 7:30,20.7
21. 6. 2 오후 7:45,20.4
21. 6. 2 오후 8:00,20.5
21. 6. 2 오후 8:15,20.6
21. 6. 2 오후 8:30,20.6
21. 6. 2 오후 8:45,20.7
21. 6. 2 오후 9:00,20.65
21. 6. 2 오후 9:15,20.6
21. 6. 2 오후 9:30,20.6
21. 6. 2 오후 9:45,20.5
21. 6. 2 오후 10:00,20.4
21. 6. 2 오후 10:15,20.4
21. 6. 2 오후 10:30,20.5
